DATE,ECOMPCTNSA
1/10/1999,0.7
1/1/2000,0.8
1/4/2000,0.8
1/7/2000,0.9
1/10/2000,1.2
1/1/2001,1.1
1/4/2001,1
1/7/2001,1
1/10/2001,1.3
1/1/2002,1.3
1/4/2002,1.3
1/7/2002,1.4
1/10/2002,1.7
1/1/2003,1.7
1/4/2003,1.6
1/7/2003,1.7
1/10/2003,2.1
1/1/2004,2
1/4/2004,1.9
1/7/2004,2
1/10/2004,2.4
1/1/2005,2.4
1/4/2005,2.3
1/7/2005,2.4
1/10/2005,2.9
1/1/2006,2.8
1/4/2006,2.6
1/7/2006,2.8
1/10/2006,3.5
1/1/2007,3.3
1/4/2007,3.1
1/7/2007,3.2
1/10/2007,4
1/1/2008,3.6
1/4/2008,3.3
1/7/2008,3.3
1/10/2008,4.1
1/1/2009,3.9
1/4/2009,3.6
1/7/2009,3.8
1/10/2009,4.7
1/1/2010,4.2
1/4/2010,4
1/7/2010,4.2
1/10/2010,5.3
1/1/2011,4.7
1/4/2011,4.4
1/7/2011,4.5
1/10/2011,5.9
1/1/2012,5.1
1/4/2012,4.9
1/7/2012,5
1/10/2012,6.5
1/1/2013,5.6
1/4/2013,5.4
1/7/2013,5.5
1/10/2013,7.1
1/1/2014,6.2
1/4/2014,5.9
1/7/2014,6.1
1/10/2014,7.8
1/1/2015,7
1/4/2015,6.7
1/7/2015,6.8
1/10/2015,8.7
1/1/2016,7.7
1/4/2016,7.5
1/7/2016,7.7
1/10/2016,9.6
1/1/2017,8.6
1/4/2017,8.4
1/7/2017,8.6
1/10/2017,10.6
1/1/2018,9.4
1/4/2018,9.2
1/7/2018,9.3
1/10/2018,11.4
1/1/2019,10.3
1/4/2019,10.1
1/7/2019,10.6
1/10/2019,12.7
